timestamp,actual,predicted,signal,profit,cumulative_profit
2024-02-11,5.176,5.494967210681244,HOLD,0.0,0.0
2024-02-12,5.422,5.6973660566105115,HOLD,0.0,0.0
2024-02-13,5.23,5.550819700420252,HOLD,0.0,0.0
2024-02-14,5.525,5.8003240576842225,HOLD,0.0,0.0
2024-02-15,5.721,5.846644863217673,HOLD,0.0,0.0
2024-02-16,5.734,5.8928439452202355,HOLD,0.0,0.0
2024-02-17,5.426,5.790128674339352,HOLD,0.0,0.0
2024-02-18,5.528,5.889746088189375,HOLD,0.0,0.0
2024-02-19,5.455,5.819427516743872,HOLD,0.0,0.0
2024-02-20,5.233,5.6981211602783866,HOLD,0.0,0.0
2024-02-21,5.165,5.598954977264776,HOLD,0.0,0.0
2024-02-22,5.082,5.50116847542095,HOLD,0.0,0.0
2024-02-23,5.173,5.503313027207459,HOLD,0.0,0.0
2024-02-24,5.41,5.562215071596054,HOLD,0.0,0.0
2024-02-25,5.39,5.50101320019877,HOLD,0.0,0.0
2024-02-26,5.794,5.768826907359482,HOLD,0.0,0.0
2024-02-27,5.982,5.8385236312857645,HOLD,0.0,0.0
2024-02-28,6.121,5.8588334625261655,HOLD,0.0,0.0
2024-02-29,5.738,5.862157692246208,HOLD,0.0,0.0
2024-03-01,5.784,6.0403562728073386,HOLD,0.0,0.0
2024-03-02,5.763,6.068765810449587,HOLD,0.0,0.0
2024-03-03,5.646,5.992307688013182,HOLD,0.0,0.0
2024-03-04,5.58,5.936503613443393,HOLD,0.0,0.0
2024-03-05,5.105,5.657024202665309,HOLD,0.0,0.0
2024-03-06,5.289,5.613665353412296,HOLD,0.0,0.0
2024-03-07,6.97,6.413184567208299,HOLD,0.0,0.0
2024-03-08,7.27,6.3498112325682,HOLD,0.0,0.0
2024-03-09,8.283,7.150049680011385,SELL,-0.29900000000000126,-0.29900000000000126
2024-03-10,8.582,7.653669929280389,HOLD,0.0,-0.29900000000000126
2024-03-11,9.955,8.590397100492412,SELL,-0.49099999999999966,-0.7900000000000009
2024-03-12,10.446,9.196959230203294,SELL,-0.1750000000000007,-0.9650000000000016
2024-03-13,10.621,9.89007540813529,HOLD,0.0,-0.9650000000000016
2024-03-14,10.292,10.272712059768027,HOLD,0.0,-0.9650000000000016
2024-03-15,9.3,10.16481791320992,HOLD,0.0,-0.9650000000000016
2024-03-16,8.173,9.70505597584113,BUY,0.7889999999999997,-0.17600000000000193
2024-03-17,8.962,9.646804195907816,HOLD,0.0,-0.17600000000000193
