timestamp,actual,predicted,signal,confidence_score,profit,cumulative_profit
2024-01-01,4.7438,4.628990385907963,HOLD,2.4202035096765657,0.0,0.0
2024-01-02,4.6531,4.683619168834433,HOLD,0.6558889521917135,0.0,0.0
2024-01-03,4.4251,4.529472223624362,HOLD,2.3586410165727845,0.0,0.0
2024-01-04,4.3783,4.394146118750623,HOLD,0.3619240059069153,0.0,0.0
2024-01-05,4.0133,4.158321307745736,HOLD,3.613517747134186,0.0,0.0
2024-01-06,3.8169,3.9013459218050173,HOLD,2.2124216459696955,0.0,0.0
2024-01-07,3.636,3.7027320733280806,HOLD,1.8353155480770218,0.0,0.0
2024-01-08,4.0644,3.9311326616388698,HOLD,3.2788932772643014,0.0,0.0
2024-01-09,3.8624,3.9075800433969388,HOLD,1.1697401459439392,0.0,0.0
2024-01-10,4.2338,4.108556723849384,HOLD,2.95817648803948,0.0,0.0
2024-01-11,4.0709,4.11334217532028,HOLD,1.0425747456405312,0.0,0.0
2024-01-12,3.8272,3.92298343105257,HOLD,2.5027025254120514,0.0,0.0
2024-01-13,3.8906,3.8828000064906476,HOLD,0.20048304912744702,0.0,0.0
2024-01-14,3.7604,3.803689206614316,HOLD,1.1511862199318161,0.0,0.0
2024-01-15,3.7613,3.7720624154812024,HOLD,0.28613552445171864,0.0,0.0
2024-01-16,3.9764,3.9084280004719796,HOLD,1.7093853618353374,0.0,0.0
2024-01-17,4.1911,4.102811293842905,HOLD,2.1065759861872766,0.0,0.0
2024-01-18,4.3204,4.262316300065257,HOLD,1.3444056090811716,0.0,0.0
2024-01-19,4.1231,4.196670816283082,HOLD,1.7843568257641618,0.0,0.0
2024-01-20,4.0036,4.0578377411762245,HOLD,1.3547242775558233,0.0,0.0
2024-01-21,3.976,3.9940101634161573,HOLD,0.45297191690536603,0.0,0.0
2024-01-22,3.7422,3.825893966058027,HOLD,2.236490996152722,0.0,0.0
2024-01-23,3.7466,3.7585125242739976,HOLD,0.31795559371157034,0.0,0.0
2024-01-24,3.852,3.818117290621071,HOLD,0.8796134314363624,0.0,0.0
2024-01-25,3.7109,3.7537785056967143,HOLD,1.155474566728132,0.0,0.0
2024-01-26,3.9212,3.86038134868337,HOLD,1.5510214045860904,0.0,0.0
2024-01-27,4.084,4.01580186040962,HOLD,1.6698858861503407,0.0,0.0
2024-01-28,3.9758,4.009942268256031,HOLD,0.8587521569503315,0.0,0.0
2024-01-29,4.2821,4.172611147050744,HOLD,2.5568962179597845,0.0,0.0
2024-01-30,4.6061,4.4554906314343965,HOLD,3.26978069441834,0.0,0.0
2024-01-31,4.3231,4.428580925696445,HOLD,2.439937213953988,0.0,0.0
2024-02-01,4.5951,4.495465589643592,HOLD,2.168275126904929,0.0,0.0
2024-02-02,4.5831,4.57618377743475,HOLD,0.15090708396609614,0.0,0.0
2024-02-03,4.7192,4.66453394515909,HOLD,1.15837546280958,0.0,0.0
2024-02-04,4.6426,4.674209245019698,HOLD,0.6808522168547432,0.0,0.0
2024-02-05,4.4014,4.51315925379001,HOLD,2.539175121325272,0.0,0.0
2024-02-06,4.2627,4.334674396040597,HOLD,1.6884696563351311,0.0,0.0
2024-02-07,4.4683,4.395415522948677,HOLD,1.6311455598622084,0.0,0.0
2024-02-08,4.4378,4.442319869729955,HOLD,0.10184933367783325,0.0,0.0
2024-02-09,4.7088,4.59531106362482,HOLD,2.4101456076958105,0.0,0.0
2024-02-10,4.6595,4.673408815147639,HOLD,0.29850445643607626,0.0,0.0
2024-02-11,4.6201,4.643901099131108,HOLD,0.5151641551288585,0.0,0.0
2024-02-12,4.8027,4.725314633683472,HOLD,1.611288781654649,0.0,0.0
2024-02-13,4.9001,4.846870589267743,HOLD,1.0862923355086032,0.0,0.0
2024-02-14,5.0113,4.956261655936038,HOLD,1.0982847577267756,0.0,0.0
2024-02-15,5.2999,5.155208247701449,HOLD,2.7300845732665024,0.0,0.0
2024-02-16,5.2918,5.285732910872313,HOLD,0.11465076396854142,0.0,0.0
2024-02-17,5.675,5.479343974269856,HOLD,3.4476832727778657,0.0,0.0
2024-02-18,5.8705,5.744899859548101,HOLD,2.1395135073996845,0.0,0.0
2024-02-19,6.3144,6.054019572324438,HOLD,4.123597296268247,0.0,0.0
2024-02-20,6.4776,6.3662878824815685,HOLD,1.7184160417196381,0.0,0.0
2024-02-21,6.9287,6.64582364904884,SELL,4.0826756960347605,-0.45530000000000026,-0.45530000000000026
2024-02-22,7.384,7.071321235106305,SELL,4.234544486642674,0.031000000000000583,-0.4242999999999997
2024-02-23,7.353,7.356430257841241,HOLD,0.04665113343181713,0.0,-0.4242999999999997
2024-02-24,7.2245,7.31364711873538,HOLD,1.233955550354769,0.0,-0.4242999999999997
2024-02-25,7.2133,7.229089262316094,HOLD,0.2188909696823092,0.0,-0.4242999999999997
2024-02-26,7.6013,7.351170171559598,HOLD,3.2906190841093217,0.0,-0.4242999999999997
2024-02-27,7.1856,7.441475785111686,HOLD,3.560952253279982,0.0,-0.4242999999999997
2024-02-28,8.01,7.486481073713916,SELL,6.535816807566586,0.4792999999999994,0.054999999999999716
2024-02-29,7.5307,7.816773911221624,HOLD,3.798769187746471,0.0,0.054999999999999716
2024-03-01,7.8479,7.661049771313111,HOLD,2.3808946175013537,0.0,0.054999999999999716
2024-03-02,7.6531,7.774193846420459,HOLD,1.5822849096504574,0.0,0.054999999999999716
2024-03-03,7.5582,7.63633560191829,HOLD,1.0337858474013646,0.0,0.054999999999999716
2024-03-04,7.3842,7.5047017146694905,HOLD,1.631885846394879,0.0,0.054999999999999716
