timestamp,actual,predicted,signal,confidence_score,profit,cumulative_profit
2024-01-01,1.0161,0.9987429100043521,HOLD,1.7082068689743026,0.0,0.0
2024-01-02,0.9698,0.978555604039647,HOLD,0.9028257413535818,0.0,0.0
2024-01-03,0.8544,0.8769058912415095,HOLD,2.634116484259068,0.0,0.0
2024-01-04,0.884,0.876730829800871,HOLD,0.8223043211684369,0.0,0.0
2024-01-05,0.8536,0.8565678725841439,HOLD,0.3476889156682149,0.0,0.0
2024-01-06,0.8284,0.8302341694566929,HOLD,0.22141108844675306,0.0,0.0
2024-01-07,0.8019,0.8033327352450437,HOLD,0.17866757015135626,0.0,0.0
2024-01-08,0.8424,0.834566992164584,HOLD,0.929844234973418,0.0,0.0
2024-01-09,0.8065,0.8097569919447659,HOLD,0.4038427705847389,0.0,0.0
2024-01-10,0.8999,0.8816528264370183,HOLD,2.0276890280010864,0.0,0.0
2024-01-11,0.9266,0.9177537811005365,HOLD,0.9546966220012374,0.0,0.0
2024-01-12,0.863,0.8736267228563341,HOLD,1.2313699717652546,0.0,0.0
2024-01-13,0.8813,0.8754381199153296,HOLD,0.6651401435005523,0.0,0.0
2024-01-14,0.8367,0.8417879868221829,HOLD,0.6081016878430646,0.0,0.0
2024-01-15,0.8441,0.8405190174575745,HOLD,0.4242367660733857,0.0,0.0
2024-01-16,0.8449,0.8422318703259934,HOLD,0.31579236288395507,0.0,0.0
2024-01-17,0.8103,0.8130637076883331,HOLD,0.34107215702000704,0.0,0.0
2024-01-18,0.7852,0.7862998187236606,HOLD,0.14006860973772364,0.0,0.0
2024-01-19,0.7618,0.7624365471354808,HOLD,0.0835583007982122,0.0,0.0
2024-01-20,0.7869,0.783481363341515,HOLD,0.43444359619838285,0.0,0.0
2024-01-21,0.7826,0.7813911301743964,HOLD,0.15446841625396515,0.0,0.0
2024-01-22,0.7465,0.7478674504698316,HOLD,0.18318157666866106,0.0,0.0
2024-01-23,0.7255,0.7256238224135301,HOLD,0.017067183119233522,0.0,0.0
2024-01-24,0.7389,0.7377761020097402,HOLD,0.1521042076410615,0.0,0.0
2024-01-25,0.7321,0.7316073608666891,HOLD,0.06729123525623265,0.0,0.0
2024-01-26,0.7586,0.7562214554232449,HOLD,0.3135439726806124,0.0,0.0
2024-01-27,0.7881,0.7842003051855879,HOLD,0.49482233402006126,0.0,0.0
2024-01-28,0.7891,0.787371566787251,HOLD,0.21903855186276386,0.0,0.0
2024-01-29,0.8132,0.8086296037760096,HOLD,0.5620260973918432,0.0,0.0
2024-01-30,0.7992,0.7991156718127188,HOLD,0.010551574985136754,0.0,0.0
2024-01-31,0.7867,0.7864729870035729,HOLD,0.028856361564385775,0.0,0.0
2024-02-01,0.8109,0.8065133050555777,HOLD,0.5409662035296869,0.0,0.0
2024-02-02,0.799,0.7985841379879431,HOLD,0.052047811271201505,0.0,0.0
2024-02-03,0.785,0.7848511847011967,HOLD,0.018957362904876974,0.0,0.0
2024-02-04,0.7733,0.7727453669141986,HOLD,0.07172288708151979,0.0,0.0
2024-02-05,0.7792,0.7771180132582015,HOLD,0.2671954237421062,0.0,0.0
2024-02-06,0.8051,0.8006205549272898,HOLD,0.5563836880772889,0.0,0.0
2024-02-07,0.8344,0.8284103308203443,HOLD,0.7178414644841454,0.0,0.0
2024-02-08,0.8338,0.8316326053749273,HOLD,0.2599417876076576,0.0,0.0
2024-02-09,0.8534,0.8480440983300863,HOLD,0.6275956960292631,0.0,0.0
2024-02-10,0.849,0.8474487210421716,HOLD,0.1827183695910909,0.0,0.0
2024-02-11,0.8356,0.8353258158475497,HOLD,0.032812847349244285,0.0,0.0
2024-02-12,0.8799,0.8695438187267611,HOLD,1.176972527928048,0.0,0.0
2024-02-13,0.8544,0.8566503505322771,HOLD,0.2633837233470351,0.0,0.0
2024-02-14,0.8908,0.8811287554005836,HOLD,1.0856808037063856,0.0,0.0
2024-02-15,0.8905,0.8878768186619863,HOLD,0.29457398517839944,0.0,0.0
2024-02-16,0.9515,0.9341777695948739,HOLD,1.8205181718472043,0.0,0.0
2024-02-17,0.9284,0.9307944314736891,HOLD,0.2579094650677637,0.0,0.0
2024-02-18,0.9996,0.9767043007263404,HOLD,2.29048612181469,0.0,0.0
2024-02-19,0.9974,0.9934747221253271,HOLD,0.3935510201196004,0.0,0.0
2024-02-20,1.0208,1.0091793852409272,HOLD,1.138383107275933,0.0,0.0
2024-02-21,0.9511,0.9666790534893706,HOLD,1.6380037314026505,0.0,0.0
2024-02-22,0.9923,0.977362376741286,HOLD,1.5053535481924771,0.0,0.0
2024-02-23,0.9865,0.9843563379212129,HOLD,0.2172997545653456,0.0,0.0
2024-02-24,0.9941,0.9876314326191716,HOLD,0.650695843559838,0.0,0.0
2024-02-25,0.999,0.9929039189571642,HOLD,0.6102183226061828,0.0,0.0
2024-02-26,1.06,1.035897500796145,HOLD,2.2738206796089613,0.0,0.0
2024-02-27,1.0289,1.0341027875344748,HOLD,0.5056650339658758,0.0,0.0
2024-02-28,1.01,1.0111049361809041,HOLD,0.10939962187169563,0.0,0.0
2024-02-29,1.0022,1.0002894878862867,HOLD,0.19063182136432766,0.0,0.0
2024-03-01,1.0255,1.0142867952086618,HOLD,1.0934378148550217,0.0,0.0
2024-03-02,1.0955,1.066955762020263,HOLD,2.6055899570732026,0.0,0.0
2024-03-03,1.0897,1.0860056177654125,HOLD,0.3390274602723136,0.0,0.0
2024-03-04,1.1464,1.119464832066,HOLD,2.349543609037002,0.0,0.0
