Price,Adj Close,Close,Close.1,High,High.1,Low,Low.1,Open,Open.1,Volume,Volume.1,label
Ticker,PROTOCOL-USD,BIO,PROTOCOL-USD,BIO,PROTOCOL-USD,BIO,PROTOCOL-USD,BIO,PROTOCOL-USD,BIO,PROTOCOL-USD,0
Date,,,,,,,,,,,,0
2024-01-02,,327.989990234375,,331.3699951171875,,320.04998779296875,,320.7300109863281,,205500,,0
2024-01-03,,318.8599853515625,,326.5299987792969,,317.30999755859375,,326.5299987792969,,137500,,0
2024-01-04,,316.4800109863281,,321.5299987792969,,313.6099853515625,,318.3399963378906,,121900,,0
2024-01-05,,316.3800048828125,,319.9700012207031,,314.2300109863281,,314.2300109863281,,157100,,0
2024-01-08,,321.9800109863281,,323.2200012207031,,315.7699890136719,,316.6099853515625,,119100,,0
2024-01-09,,317.7699890136719,,329.7200012207031,,316.989990234375,,319.57000732421875,,207100,,0
2024-01-10,,320.760009765625,,321.0199890136719,,313.0299987792969,,316.67999267578125,,158800,,0
2024-01-11,,320.8299865722656,,323.6099853515625,,316.9100036621094,,318.80999755859375,,183200,,0
2024-01-12,,318.55999755859375,,325.4200134277344,,316.29998779296875,,323.1099853515625,,150200,,0
2024-01-16,,315.2200012207031,,317.29998779296875,,312.3699951171875,,316.0799865722656,,171600,,0
2024-01-17,,304.1199951171875,,319.1600036621094,,303.2099914550781,,311.6000061035156,,134000,,0
2024-01-18,,304.1099853515625,,308.260009765625,,303.2099914550781,,304.4599914550781,,307000,,0
2024-01-19,,306.6199951171875,,307.5899963378906,,302.6499938964844,,304.54998779296875,,281000,,0
2024-01-22,,312.8399963378906,,315.04998779296875,,307.7099914550781,,307.7099914550781,,147800,,0
2024-01-23,,315.25,,316.760009765625,,311.0799865722656,,316.44000244140625,,150800,,0
2024-01-24,,316.55999755859375,,318.6099853515625,,314.3699951171875,,316.30999755859375,,210300,,0
2024-01-25,,316.29998779296875,,324.6000061035156,,316.010009765625,,321.3399963378906,,312300,,0
2024-01-26,,329.04998779296875,,338.19000244140625,,327.6600036621094,,333.510009765625,,358600,,0
2024-01-29,,330.0400085449219,,331.94000244140625,,326.3299865722656,,327.69000244140625,,230800,,0
2024-01-30,,332.4100036621094,,334.5899963378906,,329.04998779296875,,330.44000244140625,,155000,,0
2024-01-31,,320.8900146484375,,334.67999267578125,,320.8900146484375,,334.67999267578125,,186300,,0
2024-02-01,,328.9599914550781,,329.4100036621094,,320.3599853515625,,320.3599853515625,,145500,,0
2024-02-02,,320.42999267578125,,327.1700134277344,,318.42999267578125,,325.6000061035156,,172100,,0
2024-02-05,,318.7200012207031,,322.0199890136719,,316.2200012207031,,319.0,,102100,,0
2024-02-06,,325.010009765625,,325.7300109863281,,319.30999755859375,,319.79998779296875,,184700,,0
2024-02-07,,325.1600036621094,,328.3900146484375,,321.6199951171875,,327.739990234375,,180100,,0
2024-02-08,,326.1099853515625,,328.5199890136719,,322.739990234375,,322.739990234375,,131900,,0
2024-02-09,,325.2200012207031,,327.489990234375,,322.6199951171875,,326.1099853515625,,116100,,0
2024-02-12,,326.30999755859375,,328.7900085449219,,324.55999755859375,,325.9200134277344,,155200,,0
2024-02-13,,316.1000061035156,,323.20001220703125,,312.17999267578125,,322.0,,200500,,0
2024-02-14,,327.9100036621094,,328.1300048828125,,315.8900146484375,,317.8399963378906,,174000,,0
2024-02-15,,328.7300109863281,,334.8500061035156,,326.75,,326.75,,230800,,0
2024-02-16,,340.5199890136719,,364.239990234375,,335.7099914550781,,350.0,,518600,,0
2024-02-20,,343.760009765625,,346.1099853515625,,337.29998779296875,,337.29998779296875,,296800,,0
